time_s,lowpass,highpass,bandpass
0.001917,0.000029,0.000023,-0.000052
0.001937,0.000024,0.000024,-0.000048
0.001958,0.000020,0.000023,-0.000043
0.001979,0.000016,0.000023,-0.000039
0.002000,0.000013,0.000022,-0.000035
0.002021,0.000010,0.000021,-0.000031
0.002042,0.000007,0.000020,-0.000027
0.002062,0.000005,0.000019,-0.000023
0.002083,0.000003,0.000017,-0.000020
0.002104,0.000001,0.000016,-0.000017
0.002125,-0.000001,0.000015,-0.000014
0.002146,-0.000002,0.000013,-0.000012
0.002167,-0.000003,0.000012,-0.000009
0.002188,-0.000003,0.000011,-0.000007
0.002208,-0.000004,0.000009,-0.000005
0.002229,-0.000004,0.000008,-0.000004
0.002250,-0.000005,0.000007,-0.000002
0.002271,-0.000005,0.000006,-0.000001
0.002292,-0.000005,0.000005,-0.000000
0.002313,-0.000005,0.000004,0.000001
0.002333,-0.000005,0.000003,0.000001
0.002354,-0.000005,0.000003,0.000002
0.002375,-0.000004,0.000002,0.000002
0.002396,-0.000004,0.000001,0.000003
0.002417,-0.000004,0.000001,0.000003
0.002438,-0.000004,0.000001,0.000003
0.002458,-0.000003,0.000000,0.000003
0.002479,-0.000003,-0.000000,0.000003
0.002500,-0.000003,-0.000000,0.000003
0.002521,-0.000002,-0.000001,0.000003
0.002542,-0.000002,-0.000001,0.000003
0.002563,-0.000002,-0.000001,0.000003
0.002583,-0.000002,-0.000001,0.000003
0.002604,-0.000001,-0.000001,0.000002
0.002625,-0.000001,-0.000001,0.000002
0.002646,-0.000001,-0.000001,0.000002
0.002667,-0.000001,-0.000001,0.000002
0.002688,-0.000001,-0.000001,0.000002
0.002708,-0.000001,-0.000001,0.000001
0.002729,-0.000000,-0.000001,0.000001
0.002750,-0.000000,-0.000001,0.000001
0.002771,-0.000000,-0.000001,0.000001
0.002792,-0.000000,-0.000001,0.000001
0.002813,-0.000000,-0.000001,0.000001
0.002833,0.000000,-0.000001,0.000001
0.002854,0.000000,-0.000001,0.000000
0.002875,0.000000,-0.000001,0.000000
0.002896,0.000000,-0.000000,0.000000
0.002917,0.000000,-0.000000,0.000000
0.002937,0.000000,-0.000000,0.000000
0.002958,0.000000,-0.000000,0.000000
0.002979,0.000000,-0.000000,0.000000
0.003000,0.000000,-0.000000,-0.000000
0.003021,0.000000,-0.000000,-0.000000
0.003042,0.000000,-0.000000,-0.000000
0.003062,0.000000,-0.000000,-0.000000
0.003083,0.000000,-0.000000,-0.000000
0.003104,0.000000,-0.000000,-0.000000
0.003125,0.000000,-0.000000,-0.000000
0.003146,0.000000,-0.000000,-0.000000
0.003167,0.000000,-0.000000,-0.000000
0.003187,0.000000,0.000000,-0.000000
0.003208,0.000000,0.000000,-0.000000
0.003229,0.000000,0.000000,-0.000000
0.003250,0.000000,0.000000,-0.000000
0.003271,0.000000,0.000000,-0.000000
0.003292,0.000000,0.000000,-0.000000
0.003312,0.000000,0.000000,-0.000000
0.003333,0.000000,0.000000,-0.000000
0.003354,0.000000,0.000000,-0.000000
0.003375,0.000000,0.000000,-0.000000
0.003396,0.000000,0.000000,-0.000000
0.003417,0.000000,0.000000,-0.000000
0.003437,0.000000,0.000000,-0.000000
0.003458,0.000000,0.000000,-0.000000
0.003479,0.000000,0.000000,-0.000000
0.003500,0.000000,0.000000,-0.000000
0.003521,0.000000,0.000000,-0.000000
0.003542,-0.000000,0.000000,-0.000000
0.003563,-0.000000,0.000000,-0.000000
0.003583,-0.000000,0.000000,-0.000000
0.003604,-0.000000,0.000000,-0.000000
0.003625,-0.000000,0.000000,-0.000000
0.003646,-0.000000,0.000000,-0.000000
0.003667,-0.000000,0.000000,-0.000000
0.003688,-0.000000,0.000000,-0.000000
0.003708,-0.000000,0.000000,0.000000
0.003729,-0.000000,0.000000,0.000000
0.003750,-0.000000,0.000000,0.000000
0.003771,-0.000000,0.000000,0.000000
0.003792,-0.000000,0.000000,0.000000
0.003813,-0.000000,0.000000,0.000000
0.003833,-0.000000,0.000000,0.000000
0.003854,-0.000000,0.000000,0.000000
0.003875,-0.000000,0.000000,0.000000
0.003896,-0.000000,-0.000000,0.000000
0.003917,-0.000000,-0.000000,0.000000
0.003938,-0.000000,-0.000000,0.000000
0.003958,-0.000000,-0.000000,0.000000
0.003979,-0.000000,-0.000000,0.000000
0.004000,-0.000000,-0.000000,0.000000
0.004021,-0.000000,-0.000000,0.000000
0.004042,-0.000000,-0.000000,0.000000
0.004062,-0.000000,-0.000000,0.000000
0.004083,-0.000000,-0.000000,0.000000
0.004104,-0.000000,-0.000000,0.000000
0.004125,-0.000000,-0.000000,0.000000
0.004146,-0.000000,-0.000000,0.000000
0.004167,-0.000000,-0.000000,0.000000
0.004188,-0.000000,-0.000000,0.000000
0.004208,-0.000000,-0.000000,0.000000
0.004229,-0.000000,-0.000000,0.000000
0.004250,0.000000,-0.000000,0.000000
0.004271,0.000000,-0.000000,0.000000
0.004292,0.000000,-0.000000,0.000000
0.004312,0.000000,-0.000000,0.000000
0.004333,0.000000,-0.000000,0.000000
0.004354,0.000000,-0.000000,0.000000
0.004375,0.000000,-0.000000,0.000000
0.004396,0.000000,-0.000000,0.000000
0.004417,0.000000,-0.000000,-0.000000
0.004438,0.000000,-0.000000,-0.000000
0.004458,0.000000,-0.000000,-0.000000
0.004479,0.000000,-0.000000,-0.000000
0.004500,0.000000,-0.000000,-0.000000
0.004521,0.000000,-0.000000,-0.000000
0.004542,0.000000,-0.000000,-0.000000
0.004562,0.000000,-0.000000,-0.000000
0.004583,0.000000,-0.000000,-0.000000
0.004604,0.000000,0.000000,-0.000000
0.004625,0.000000,0.000000,-0.000000
0.004646,0.000000,0.000000,-0.000000
0.004667,0.000000,0.000000,-0.000000
0.004688,0.000000,0.000000,-0.000000
0.004708,0.000000,0.000000,-0.000000
0.004729,0.000000,0.000000,-0.000000
0.004750,0.000000,0.000000,-0.000000
0.004771,0.000000,0.000000,-0.000000
0.004792,0.000000,0.000000,-0.000000
0.004812,0.000000,0.000000,-0.000000
0.004833,0.000000,0.000000,-0.000000
0.004854,0.000000,0.000000,-0.000000
0.004875,0.000000,0.000000,-0.000000
0.004896,0.000000,0.000000,-0.000000
0.004917,0.000000,0.000000,-0.000000
0.004938,-0.000000,0.000000,-0.000000
0.004958,-0.000000,0.000000,-0.000000
0.004979,-0.000000,0.000000,-0.000000
0.005000,-0.000000,0.000000,-0.000000
0.005021,-0.000000,0.000000,-0.000000
0.005042,-0.000000,0.000000,-0.000000
0.005063,-0.000000,0.000000,-0.000000
0.005083,-0.000000,0.000000,-0.000000
0.005104,-0.000000,0.000000,-0.000000
0.005125,-0.000000,0.000000,0.000000
0.005146,-0.000000,0.000000,0.000000
0.005167,-0.000000,0.000000,0.000000
0.005187,-0.000000,0.000000,0.000000
0.005208,-0.000000,0.000000,0.000000
0.005229,-0.000000,0.000000,0.000000
0.005250,-0.000000,0.000000,0.000000
0.005271,-0.000000,0.000000,0.000000
0.005292,-0.000000,-0.000000,0.000000
0.005313,-0.000000,-0.000000,0.000000
0.005333,-0.000000,-0.000000,0.000000
0.005354,-0.000000,-0.000000,0.000000
0.005375,-0.000000,-0.000000,0.000000
0.005396,-0.000000,-0.000000,0.000000
0.005417,-0.000000,-0.000000,0.000000
0.005437,-0.000000,-0.000000,0.000000
0.005458,-0.000000,-0.000000,0.000000
0.005479,-0.000000,-0.000000,0.000000
0.005500,-0.000000,-0.000000,0.000000
0.005521,-0.000000,-0.000000,0.000000
0.005542,-0.000000,-0.000000,0.000000
0.005563,-0.000000,-0.000000,0.000000
0.005583,-0.000000,-0.000000,0.000000
0.005604,-0.000000,-0.000000,0.000000
0.005625,-0.000000,-0.000000,0.000000
0.005646,0.000000,-0.000000,0.000000
0.005667,0.000000,-0.000000,0.000000
0.005687,0.000000,-0.000000,0.000000
0.005708,0.000000,-0.000000,0.000000
0.005729,0.000000,-0.000000,0.000000
0.005750,0.000000,-0.000000,0.000000
0.005771,0.000000,-0.000000,0.000000
0.005792,0.000000,-0.000000,0.000000
0.005813,0.000000,-0.000000,0.000000
0.005833,0.000000,-0.000000,-0.000000
0.005854,0.000000,-0.000000,-0.000000
0.005875,0.000000,-0.000000,-0.000000
0.005896,0.000000,-0.000000,-0.000000
0.005917,0.000000,-0.000000,-0.000000
0.005937,0.000000,-0.000000,-0.000000
0.005958,0.000000,-0.000000,-0.000000
0.005979,0.000000,-0.000000,-0.000000
0.006000,0.000000,0.000000,-0.000000
0.006021,0.000000,0.000000,-0.000000
0.006042,0.000000,0.000000,-0.000000
0.006063,0.000000,0.000000,-0.000000
0.006083,0.000000,0.000000,-0.000000
0.006104,0.000000,0.000000,-0.000000
0.006125,0.000000,0.000000,-0.000000
0.006146,0.000000,0.000000,-0.000000
0.006167,0.000000,0.000000,-0.000000
0.006187,0.000000,0.000000,-0.000000
0.006208,0.000000,0.000000,-0.000000
0.006229,0.000000,0.000000,-0.000000
0.006250,0.000000,0.000000,-0.000000
0.006271,0.000000,0.000000,-0.000000
0.006292,0.000000,0.000000,-0.000000
0.006313,0.000000,0.000000,-0.000000
0.006333,0.000000,0.000000,-0.000000
0.006354,-0.000000,0.000000,-0.000000
0.006375,-0.000000,0.000000,-0.000000
0.006396,-0.000000,0.000000,-0.000000
0.006417,-0.000000,0.000000,-0.000000
0.006438,-0.000000,0.000000,-0.000000
0.006458,-0.000000,0.000000,-0.000000
0.006479,-0.000000,0.000000,-0.000000
0.006500,-0.000000,0.000000,-0.000000
0.006521,-0.000000,0.000000,-0.000000
0.006542,-0.000000,0.000000,0.000000
0.006562,-0.000000,0.000000,0.000000
0.006583,-0.000000,0.000000,0.000000
0.006604,-0.000000,0.000000,0.000000
0.006625,-0.000000,0.000000,0.000000
0.006646,-0.000000,0.000000,0.000000
0.006667,-0.000000,0.000000,0.000000
0.006688,-0.000000,0.000000,0.000000
0.006708,-0.000000,-0.000000,0.000000
0.006729,-0.000000,-0.000000,0.000000
0.006750,-0.000000,-0.000000,0.000000
0.006771,-0.000000,-0.000000,0.000000
0.006792,-0.000000,-0.000000,0.000000
0.006812,-0.000000,-0.000000,0.000000
0.006833,-0.000000,-0.000000,0.000000
0.006854,-0.000000,-0.000000,0.000000
0.006875,-0.000000,-0.000000,0.000000
0.006896,-0.000000,-0.000000,0.000000
0.006917,-0.000000,-0.000000,0.000000
0.006938,-0.000000,-0.000000,0.000000
0.006958,-0.000000,-0.000000,0.000000
0.006979,-0.000000,-0.000000,0.000000
0.007000,-0.000000,-0.000000,0.000000
0.007021,-0.000000,-0.000000,0.000000
0.007042,-0.000000,-0.000000,0.000000
0.007062,0.000000,-0.000000,0.000000
0.007083,0.000000,-0.000000,0.000000
0.007104,0.000000,-0.000000,0.000000
0.007125,0.000000,-0.000000,0.000000
0.007146,0.000000,-0.000000,0.000000
0.007167,0.000000,-0.000000,0.000000
0.007188,0.000000,-0.000000,0.000000
0.007208,0.000000,-0.000000,0.000000
0.007229,0.000000,-0.000000,0.000000
0.007250,0.000000,-0.000000,-0.000000
0.007271,0.000000,-0.000000,-0.000000
0.007292,0.000000,-0.000000,-0.000000
0.007312,0.000000,-0.000000,-0.000000
0.007333,0.000000,-0.000000,-0.000000
0.007354,0.000000,-0.000000,-0.000000
0.007375,0.000000,-0.000000,-0.000000
0.007396,0.000000,-0.000000,-0.000000
0.007417,0.000000,0.000000,-0.000000
0.007438,0.000000,0.000000,-0.000000
0.007458,0.000000,0.000000,-0.000000
0.007479,0.000000,0.000000,-0.000000
0.007500,0.000000,0.000000,-0.000000
0.007521,0.000000,0.000000,-0.000000
0.007542,0.000000,0.000000,-0.000000
0.007562,0.000000,0.000000,-0.000000
0.007583,0.000000,0.000000,-0.000000
0.007604,0.000000,0.000000,-0.000000
0.007625,0.000000,0.000000,-0.000000
0.007646,0.000000,0.000000,-0.000000
0.007667,0.000000,0.000000,-0.000000
0.007688,0.000000,0.000000,-0.000000
0.007708,0.000000,0.000000,-0.000000
0.007729,0.000000,0.000000,-0.000000
0.007750,0.000000,0.000000,-0.000000
0.007771,-0.000000,0.000000,-0.000000
0.007792,-0.000000,0.000000,-0.000000
0.007812,-0.000000,0.000000,-0.000000
0.007833,-0.000000,0.000000,-0.000000
0.007854,-0.000000,0.000000,-0.000000
0.007875,-0.000000,0.000000,-0.000000
0.007896,-0.000000,0.000000,-0.000000
0.007917,-0.000000,0.000000,-0.000000
0.007938,-0.000000,0.000000,0.000000
0.007958,-0.000000,0.000000,0.000000
0.007979,-0.000000,0.000000,0.000000
0.008000,-0.000000,0.000000,0.000000
0.008021,-0.000000,0.000000,0.000000
0.008042,-0.000000,0.000000,0.000000
0.008062,-0.000000,0.000000,0.000000
0.008083,-0.000000,0.000000,0.000000
0.008104,-0.000000,0.000000,0.000000
0.008125,-0.000000,-0.000000,0.000000
0.008146,-0.000000,-0.000000,0.000000
0.008167,-0.000000,-0.000000,0.000000
0.008187,-0.000000,-0.000000,0.000000
0.008208,-0.000000,-0.000000,0.000000
0.008229,-0.000000,-0.000000,0.000000
0.008250,-0.000000,-0.000000,0.000000
0.008271,-0.000000,-0.000000,0.000000
0.008292,-0.000000,-0.000000,0.000000
0.008313,-0.000000,-0.000000,0.000000
0.008333,-0.000000,-0.000000,0.000000
0.008354,-0.000000,-0.000000,0.000000
0.008375,-0.000000,-0.000000,0.000000
0.008396,-0.000000,-0.000000,0.000000
0.008417,-0.000000,-0.000000,0.000000
0.008438,-0.000000,-0.000000,0.000000
0.008458,-0.000000,-0.000000,0.000000
0.008479,0.000000,-0.000000,0.000000
0.008500,0.000000,-0.000000,0.000000
0.008521,0.000000,-0.000000,0.000000
0.008542,0.000000,-0.000000,0.000000
0.008562,0.000000,-0.000000,0.000000
0.008583,0.000000,-0.000000,0.000000
0.008604,0.000000,-0.000000,0.000000
0.008625,0.000000,-0.000000,0.000000
0.008646,0.000000,-0.000000,-0.000000
0.008667,0.000000,-0.000000,-0.000000
0.008687,0.000000,-0.000000,-0.000000
0.008708,0.000000,-0.000000,-0.000000
0.008729,0.000000,-0.000000,-0.000000
0.008750,0.000000,-0.000000,-0.000000
0.008771,0.000000,-0.000000,-0.000000
0.008792,0.000000,-0.000000,-0.000000
0.008813,0.000000,-0.000000,-0.000000
0.008833,0.000000,0.000000,-0.000000
0.008854,0.000000,0.000000,-0.000000
0.008875,0.000000,0.000000,-0.000000
0.008896,0.000000,0.000000,-0.000000
0.008917,0.000000,0.000000,-0.000000
0.008938,0.000000,0.000000,-0.000000
0.008958,0.000000,0.000000,-0.000000
0.008979,0.000000,0.000000,-0.000000
0.009000,0.000000,0.000000,-0.000000
0.009021,0.000000,0.000000,-0.000000
0.009042,0.000000,0.000000,-0.000000
0.009062,0.000000,0.000000,-0.000000
0.009083,0.000000,0.000000,-0.000000
0.009104,0.000000,0.000000,-0.000000
0.009125,0.000000,0.000000,-0.000000
0.009146,0.000000,0.000000,-0.000000
0.009167,0.000000,0.000000,-0.000000
0.009187,-0.000000,0.000000,-0.000000
0.009208,-0.000000,0.000000,-0.000000
0.009229,-0.000000,0.000000,-0.000000
0.009250,-0.000000,0.000000,-0.000000
0.009271,-0.000000,0.000000,-0.000000
0.009292,-0.000000,0.000000,-0.000000
0.009313,-0.000000,0.000000,-0.000000
0.009333,-0.000000,0.000000,-0.000000
0.009354,-0.000000,0.000000,0.000000
0.009375,-0.000000,0.000000,0.000000
0.009396,-0.000000,0.000000,0.000000
0.009417,-0.000000,0.000000,0.000000
0.009437,-0.000000,0.000000,0.000000
0.009458,-0.000000,0.000000,0.000000
0.009479,-0.000000,0.000000,0.000000
0.009500,-0.000000,0.000000,0.000000
0.009521,-0.000000,-0.000000,0.000000
0.009542,-0.000000,-0.000000,0.000000
0.009562,-0.000000,-0.000000,0.000000
0.009583,-0.000000,-0.000000,0.000000
0.009604,-0.000000,-0.000000,0.000000
0.009625,-0.000000,-0.000000,0.000000
0.009646,-0.000000,-0.000000,0.000000
0.009667,-0.000000,-0.000000,0.000000
0.009688,-0.000000,-0.000000,0.000000
0.009708,-0.000000,-0.000000,0.000000
0.009729,-0.000000,-0.000000,0.000000
0.009750,-0.000000,-0.000000,0.000000
0.009771,-0.000000,-0.000000,0.000000
0.009792,0.000000,-0.000000,0.000000
0.009813,0.000000,-0.000000,0.000000
0.009833,0.000000,-0.000000,0.000000
0.009854,0.000000,-0.000000,0.000000
0.009875,0.000000,-0.000000,0.000000
0.009896,0.000000,-0.000000,0.000000
0.009917,0.000000,-0.000000,0.000000
0.009937,0.000000,-0.000000,0.000000
0.009958,0.000000,-0.000000,0.000000
0.009979,0.000000,-0.000000,0.000000
0.010000,0.000000,-0.000000,0.000000
0.010021,0.000000,-0.000000,0.000000
0.010042,0.000000,-0.000000,0.000000
0.010062,0.000000,0.000000,0.000000
0.010083,0.000000,0.000000,0.000000
0.010104,0.000000,0.000000,0.000000
0.010125,0.000000,0.000000,0.000000
0.010146,0.000000,0.000000,0.000000
0.010167,0.000000,0.000000,0.000000
0.010188,0.000000,0.000000,0.000000
0.010208,0.000000,0.000000,0.000000
0.010229,0.000000,0.000000,0.000000
0.010250,0.000000,0.000000,0.000000
0.010271,0.000000,0.000000,0.000000
0.010292,0.000000,0.000000,0.000000
0.010313,0.000000,0.000000,0.000000
0.010333,0.000000,0.000000,0.000000
0.010354,0.000000,0.000000,0.000000
0.010375,0.000000,0.000000,0.000000
0.010396,0.000000,0.000000,0.000000
0.010417,0.000000,0.000000,0.000000
0.010437,0.000000,0.000000,0.000000
0.010458,0.000000,0.000000,0.000000
0.010479,0.000000,0.000000,0.000000
0.010500,0.000000,0.000000,0.000000
0.010521,0.000000,0.000000,0.000000
0.010542,0.000000,0.000000,0.000000
0.010562,0.000000,0.000000,0.000000
0.010583,0.000000,0.000000,0.000000
0.010604,0.000000,0.000000,0.000000
0.010625,0.000000,0.000000,0.000000
0.010646,0.000000,0.000000,0.000000
